Periodo;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;PESCA Y SERVICIOS CONEXOS;EXPLOTACION  DE  MINAS  Y  CANTERAS;INDUSTRIA MANUFACTURERA;ELECTRICIDAD, GAS Y AGUA;CONSTRUCCION;COMERCIO AL POR MAYOR Y AL POR MENOR;HOTELERIA Y RESTAURANTES ;SERVICIOS DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES;INTERMEDIACION FINANCIERA Y OTROS SERVICIOS FINANCIEROS ;SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER;ENSEÑANZA;SERVICIOS SOCIALES Y DE SALUD;SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.;;Suma de remuneraciones mensuales por grupo de actividad. Nominales. En pesos
feb-14;23.580;#¡VALOR!;84.322;43.458;#¡VALOR!;30.590;34.436;23.781;48.368;63.913;29.803;22.295;36.202;34.812;;
mar-14;23.268;#¡VALOR!;98.786;45.112;#¡VALOR!;31.630;33.603;24.003;49.511;64.524;29.730;23.289;35.307;34.338;;
abr-14;22.961;#¡VALOR!;78.109;44.567;#¡VALOR!;33.029;35.906;23.452;48.167;79.230;30.786;24.547;35.115;35.266;;
may-14;22.734;#¡VALOR!;87.142;44.714;#¡VALOR!;34.295;35.673;23.709;47.517;63.064;30.577;24.374;34.442;34.780;;
jun-14;32.063;#¡VALOR!;118.735;64.290;#¡VALOR!;44.759;50.945;32.927;66.198;90.968;41.599;33.009;51.041;49.323;;
jul-14;22.627;#¡VALOR!;85.998;46.393;#¡VALOR!;34.039;37.124;24.686;51.622;60.758;31.832;24.017;37.213;35.942;;
ago-14;22.152;#¡VALOR!;84.843;46.302;#¡VALOR!;33.630;34.147;25.399;50.316;59.763;30.643;23.987;36.486;35.025;;
sept-14;21.512;#¡VALOR!;85.713;45.638;#¡VALOR!;32.918;35.349;24.200;50.110;60.632;30.673;23.638;35.963;34.891;;
oct-14;22.783;#¡VALOR!;87.354;46.471;#¡VALOR!;33.109;35.230;24.076;49.920;63.714;31.012;23.474;37.909;34.682;;
nov-14;23.931;#¡VALOR!;83.057;46.328;#¡VALOR!;31.693;36.867;24.853;49.822;67.354;31.670;23.276;37.892;35.150;;
dic-14;34.130;#¡VALOR!;133.836;72.785;#¡VALOR!;46.344;51.206;34.323;70.584;87.939;43.522;32.836;55.802;51.068;;
ene-15;24.039;#¡VALOR!;103.452;48.979;#¡VALOR!;31.436;35.573;25.105;51.260;75.911;31.845;23.537;41.222;37.124;;
feb-15;24.075;#¡VALOR!;96.926;45.879;#¡VALOR!;30.431;34.973;24.868;50.300;66.736;31.040;23.509;38.108;36.086;;
mar-15;23.729;#¡VALOR!;101.561;47.202;#¡VALOR!;31.008;34.113;24.515;51.118;68.159;30.516;25.496;37.097;35.615;;
abr-15;23.806;#¡VALOR!;88.823;46.159;#¡VALOR!;30.664;33.646;24.328;49.830;59.576;30.256;26.246;36.768;35.848;;
may-15;23.973;#¡VALOR!;91.310;45.697;#¡VALOR!;32.390;37.655;24.974;49.049;59.812;31.603;25.902;36.621;36.804;;
jun-15;34.093;#¡VALOR!;126.310;68.827;#¡VALOR!;47.220;53.262;36.349;69.211;126.680;44.415;35.763;53.146;52.456;;
